"","station_id","name","popden","jobden","income"
"1","BT-01","3rd Ave & Broad St",23859.78629,252671,63888
"2","BT-03","2nd Ave & Vine St",15104.04954,98910.5,88346
"3","BT-04","6th Ave & Blanchard St",3202.183199,19164.59961,68770
"4","BT-05","2nd Ave & Blanchard St",17173.90893,66194.79688,46892
"5","CBD-03","7th Ave & Union St",3533.310808,116015,79909
"6","CBD-04","Union St & 4th Ave",3331.859051,157785,59027
"7","CBD-05","1st Ave & Marion St",5247.101825,219736,112108
"8","CBD-06","2nd Ave & Spring St",3331.859051,157785,59027
"9","CBD-07","City Hall / 4th Ave & James St",3331.859051,157785,59027
"10","CBD-13","2nd Ave & Pine St",3331.859051,157785,59027
"11","CD-01","12th Ave & E Yesler Way",6096.100658,25877,27907
"12","CH-01","Summit Ave & E Denny Way",15685.46628,8232.209961,63564
"13","CH-02","E Harrison St & Broadway Ave E",12677.45641,9041.5,88554
"14","CH-03","Summit Ave E & E Republican St",18374.86869,11116.7002,76157
"15","CH-05","15th Ave E & E Thomas St",10420.10835,44936.69922,69254
"16","CH-06","12th Ave & E Denny Way",5918.386406,20665.80078,76176
"17","CH-07","E Pine St & 16th Ave",12633.03425,27173.40039,57700
"18","CH-08","Cal Anderson Park / 11th Ave & Pine St",4771.096104,27242,63305
"19","CH-09","Harvard Ave & E Pine St",8542.826065,57450.19922,52427
"20","CH-12","Bellevue Ave & E Pine St",12500.46045,97920.29688,69896
"21","CH-15","12th Ave & E Mercer St",11523.70538,35506.10156,66199
"22","CH-16","Broadway and E Denny Way",4771.096104,27242,63305
"23","DPD-01","9th Ave N & Mercer St",3202.183199,19164.59961,68770
"24","DPD-03","Children's Hospital / Sandpoint Way NE & 40th Ave NE",2528.118618,15027.7002,112412
"25","EL-01","Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St",2248.293182,11088.09961,81805
"26","EL-03","E Blaine St & Fairview Ave E",2248.293182,11088.09961,81805
"27","EL-05","Eastlake Ave E & E Allison St",5114.43739,11240.90039,80397
"28","FH-01","Frye Art Museum / Terry Ave & Columbia St",6016.869603,90816.60156,29932
"29","FH-04","Seattle University / E Columbia St & 12th Ave",4689.957686,19198.90039,70101
"30","ID-04","6th Ave S & S King St",10965.44575,28190.40039,37791
"31","PS-04","Occidental Park / Occidental Ave S & S Washington St",8290.574536,23887.30078,42312
"32","PS-05","King Street Station Plaza / 2nd Ave Extension S & S Jackson St",171.4342537,18181.69922,105458
"33","SLU-01","REI / Yale Ave N & John St",5719.586879,114860,72171
"34","SLU-02","Dexter Ave N & Aloha St",5560.189059,16210.09961,85970
"35","SLU-04","Republican St & Westlake Ave N",4247.983221,89115.5,108733
"36","SLU-07","PATH / 9th Ave & Westlake Ave",3202.183199,19164.59961,68770
"37","SLU-15","Westlake Ave & 6th Ave",4247.983221,89115.5,108733
"38","SLU-16","Pine St & 9th Ave",12320.28868,58960.30078,58535
"39","SLU-18","Dexter Ave & Denny Way",9621.830922,128183,69461
"40","SLU-19","Key Arena / 1st Ave N & Harrison St",3636.641264,21839.80078,88784
"41","SLU-20","Terry Ave & Stewart St",5443.086431,134440,57967
"42","SLU-21","Mercer St & 9th Ave N",3202.183199,19164.59961,68770
"43","SLU-22","Thomas St & 5th Ave N",3202.183199,19164.59961,68770
"44","SLU-23","Lake Union Park / Westlake Ave & Aloha St",5560.189059,16210.09961,85970
"45","UD-01","Burke-Gilman Trail / NE Blakeley St & 24th Ave NE",8366.744472,3282.25,28895
"46","UD-02","NE 42nd St & University Way NE",12805.57233,49258.69922,13384
"47","UD-04","12th Ave & NE Campus Pkwy",19550.08636,271989,22188
"48","UD-07","NE 47th St & 12th Ave NE",8439.932485,17518.30078,26906
"49","UW-01","UW McCarty Hall / Whitman Ct",1447.603261,12864.40039,0
"50","UW-02","Burke Museum / E Stevens Way NE & Memorial Way NE",1447.603261,12864.40039,0
"51","UW-04","15th Ave NE & NE 40th St",1447.603261,12864.40039,0
"52","UW-06","UW Engineering Library / E Stevens Way NE & Jefferson Rd",1447.603261,12864.40039,0
"53","UW-07","UW Intramural Activities Building",1447.603261,12864.40039,0
"54","UW-10","UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd",3073.415867,64963.80078,46071
"55","UW-11","NE Pacific St/UW Medical Center",1447.603261,12864.40039,0
"56","UW-12","Husky Stadium U-Link/ Montlake Blvd NE & Walla Walla Rd NE",1447.603261,12864.40039,0
"57","WF-01","Pier 69 / Alaskan Way & Clay St",5068.084611,46319.60156,82438
"58","WF-03","Pier 66 / Alaskan Way & Bell St",5068.084611,46319.60156,82438
"59","WF-04","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail",11710.89079,564082,55783
