"","station_id","name","popden","jobden","income","number_transportation","transportation_distance","searchable"
"11","CD-01","12th Ave & E Yesler Way",6096.100658,25877,27907,6,154,1
"51","UW-04","15th Ave NE & NE 40th St",1447.603261,12864.40039,0,28,194,1
"3","BT-04","6th Ave & Blanchard St",3202.183199,19164.59961,68770,4,528,1
"30","ID-04","6th Ave S & S King St",10965.44575,28190.40039,37791,33,364,1
"22","CH-16","Broadway and E Denny Way",4771.096104,27242,63305,12,79,0
"50","UW-02","Burke Museum / E Stevens Way NE & Memorial Way NE",1447.603261,12864.40039,0,8,528,1
"45","UD-01","Burke-Gilman Trail / NE Blakeley St & 24th Ave NE",8366.744472,3282.25,28895,1,338,1
"24","DPD-03","Children's Hospital / Sandpoint Way NE & 40th Ave NE",2528.118618,15027.7002,112412,8,3,1
"39","SLU-18","Dexter Ave & Denny Way",9621.830922,128183,69461,6,13,1
"26","EL-03","E Blaine St & Fairview Ave E",2248.293182,11088.09961,81805,2,528,0
"46","UD-02","NE 42nd St & University Way NE",12805.57233,49258.69922,13384,24,443,1
